dataset,model,tuning,n,mean_residual,median_residual,mean_abs_error,median_abs_error,max_abs_error
base,OLS,mvp,2759,-0.009218222432778917,0.0202853785706511,0.5146830456268512,0.3981183947776934,4.208358086313229
base,RF,mvp,2759,-0.004522210624810546,-0.0115187941565375,0.420616091136671,0.3102486021694766,3.2518302701577215
base,RF,tuned,2759,-0.006547077935626031,-0.0169940632156135,0.41818321658450175,0.3105654617083346,3.283106219713143
base,XGB,mvp,2759,-0.00428657022563187,-0.0054452600813394,0.4095547553676841,0.3035345259047037,3.140637357874132
base,XGB,tuned,2759,-0.009370943058381924,-0.0118788348572467,0.40866238303210567,0.3042081632560249,3.536353071375109
boundary,OLS,mvp,2759,-0.004540405081157934,0.0323964148666431,0.5168146344814474,0.4059328265189652,3.8959118432326174
boundary,RF,mvp,2759,-0.001568347290933853,-0.0094024721583934,0.4196219666826645,0.309164344254202,3.23067968226284
boundary,RF,tuned,2759,-0.003347930527725387,-0.0124540288538996,0.42013428299402295,0.3082494376326528,3.2916683123004784
boundary,XGB,mvp,2759,-0.011918239100280805,-0.0131259146070963,0.4102214579990248,0.2974715904469733,3.150571600030257
boundary,XGB,tuned,2759,-0.007306084987634731,-0.0128569756263825,0.40497029009020036,0.2941666545144512,3.183894411156966
queen,OLS,mvp,2759,-0.0003970516124702112,0.0354352034630154,0.5131327672519838,0.4020854935287214,3.874227947746024
queen,RF,mvp,2759,0.009005702718437553,-0.0047759378574159,0.422208131930061,0.3045425931244279,3.377956719751266
queen,RF,tuned,2759,0.00765355339312085,-0.006044748747676,0.41947272473198244,0.3029210330641003,3.3047128332078226
queen,XGB,mvp,2759,-0.0030118193217889776,-0.0058685251183527,0.4089977605893596,0.2981119066860129,3.3193898354275957
queen,XGB,tuned,2759,-0.004496456260843752,-0.0152405028683659,0.40770525227550614,0.298654300622462,3.2759753618939653
