ste_oad_decile,n,mean_y_true,mean_y_pred,mean_residual,MAE,RMSE,R2,pct_underpredicted,pct_overpredicted
0.0,274,1.2697742078137433,1.2644270792549108,0.005347128558832595,0.5252174376145144,0.688675204194812,0.4809275700760637,48.175182481751825,51.82481751824818
1.0,277,1.9366923982798188,1.9707292939136174,-0.03403689563379867,0.486460519764676,0.6487448568765051,0.4865475123846634,47.292418772563174,52.707581227436826
2.0,272,2.55599428816034,2.5870791993596973,-0.031084911199357218,0.45513233782649065,0.6041009727012581,0.587493480809222,48.529411764705884,51.470588235294116
3.0,272,2.7678981591136016,2.8297788899063185,-0.061880730792717255,0.4029476101843474,0.552505710494875,0.712769848045919,43.01470588235294,56.98529411764706
4.0,274,3.054742644347336,3.0788891319810907,-0.02414648763375489,0.3997478788512416,0.5369812579969688,0.7684207252343636,46.715328467153284,53.284671532846716
6.0,273,3.565638303115704,3.6214914457265275,-0.05585314261082307,0.39304857406985205,0.5279352769973293,0.7782159295773576,43.58974358974359,56.41025641025641
7.0,275,3.894573293506065,3.836570504795421,0.058002788710643814,0.3566011743030057,0.522449455077046,0.7105459595598732,49.81818181818182,50.18181818181818
5.0,274,3.4792218490742095,3.441002744610292,0.038219104463917436,0.3506779792240564,0.49629573558922674,0.7281717600112008,50.0,50.0
8.0,273,4.096526211907847,4.081813396115006,0.01471281579284118,0.34368139341767806,0.46417249322397625,0.7903316429351767,53.47985347985348,46.52014652014652
9.0,274,4.386104407156948,4.342394673041183,0.043709734115764204,0.3111263439414308,0.4370334898584564,0.7685457303194307,52.919708029197075,47.08029197080292
