gwb_code_10,gm_naam,regio,dataset,model,tuning,y_true,y_pred,residual,abs_error
BU03562300,Nieuwegein,Hoge Landen,boundary,XGB,tuned,4.897839799950911,1.713945388793945,3.183894411156966,3.183894411156966
BU09950963,Lelystad,Stationsplein,boundary,XGB,tuned,5.62040086571715,2.5141730308532715,3.106227834863878,3.106227834863878
BU06060003,Schiedam,Walvisbuurt,boundary,XGB,tuned,6.904750769961838,3.92620849609375,2.978542273868088,2.978542273868088
BU09951078,Lelystad,Larserplein,boundary,XGB,tuned,3.4339872044851463,0.7914417386054993,2.642545465879647,2.642545465879647
BU09951098,Lelystad,Oostvaardersplassen,boundary,XGB,tuned,3.7612001156935624,1.1564583778381348,2.6047417378554276,2.6047417378554276
BU09950732,Lelystad,"De Doelen, De Marken",boundary,XGB,tuned,4.127134385045092,1.6105084419250488,2.516625943120043,2.516625943120043
BU16401401,Leudal,Verspreide huizen Neeritter,boundary,XGB,tuned,0.0,2.3210153579711914,-2.3210153579711914,2.3210153579711914
BU08280905,Oss,Geffense Bosjes,boundary,XGB,tuned,3.295836866004329,0.9933857917785645,2.3024510742257647,2.3024510742257647
BU09951097,Lelystad,Hollandse Hout,boundary,XGB,tuned,2.833213344056216,0.6252084970474243,2.208004847008792,2.208004847008792
BU07360106,De Ronde Venen,Sportpark Mijdrecht,boundary,XGB,tuned,0.0,2.105165958404541,-2.105165958404541,2.105165958404541
BU04390303,Purmerend,Dwarsgouw,boundary,XGB,tuned,0.6931471805599453,2.7979986667633057,-2.1048514862033603,2.1048514862033603
BU06290008,Wassenaar,Verspreide huizen Eikenhorst,boundary,XGB,tuned,3.688879454113936,1.591602087020874,2.097277367093062,2.097277367093062
BU09882403,Weert,Leuken buitengebied,boundary,XGB,tuned,4.634728988229636,2.6467654705047607,1.9879635177248751,1.9879635177248751
BU19700208,Noardeast-Fryslân,Verspreide huizen Ee,boundary,XGB,tuned,0.0,1.95116925239563,-1.95116925239563,1.95116925239563
BU02021368,Arnhem,N.O. van Schaarsbergen,boundary,XGB,tuned,5.337538079701318,3.3906795978546143,1.9468584818467036,1.9468584818467036
BU08555903,Tilburg,Bedrijventerrein Kraaiven West,boundary,XGB,tuned,0.0,1.9217153787612915,-1.9217153787612915,1.9217153787612915
BU16761509,Schouwen-Duiveland,Verspreide huizen Serooskerke,boundary,XGB,tuned,3.044522437723423,1.1384538412094116,1.9060685965140112,1.9060685965140112
BU04020504,Hilversum,West-Indiëkwartier,boundary,XGB,tuned,4.59511985013459,2.6990718841552734,1.8960479659793164,1.8960479659793164
BU04730106,Zandvoort,Sport Circuit,boundary,XGB,tuned,4.59511985013459,2.7733957767486572,1.8217240733859328,1.8217240733859328
BU03840503,Diemen,Holland Park Zuid,boundary,XGB,tuned,1.9459101490553132,3.7537879943847656,-1.8078778453294524,1.8078778453294524
