dataset,model,fold,rmse,mae,r2
base,RF,0,0.6212262237783973,0.43896812749293235,0.7954336568520537
base,RF,1,0.56424939548953,0.4186841409858749,0.8026659318830609
base,RF,2,0.6145259594545686,0.4534418364397546,0.8444796541353587
base,RF,3,0.5795089845290535,0.43062758558316006,0.8051791228487857
base,RF,4,0.62535829690686,0.45170490653316425,0.7828607722605211
base_reduced,RF,0,0.6768504431510974,0.4806756030716225,0.7571600938561408
base_reduced,RF,1,0.613837648897541,0.44964221403846893,0.7664569714684479
base_reduced,RF,2,0.6744136250934812,0.49867393581318276,0.8126906668320995
base_reduced,RF,3,0.6296192623946161,0.46621844597683115,0.770030013462023
base_reduced,RF,4,0.6733849014356448,0.48667132736049956,0.748228130080659
boundary,RF,0,0.6219560568467034,0.4409146230035044,0.7949527145590378
boundary,RF,1,0.56676688340706,0.4192492889204186,0.80090112936442
boundary,RF,2,0.6155923100794616,0.4544062788895756,0.8439394553009699
boundary,RF,3,0.580668792407536,0.4317235010653635,0.8043985278863777
boundary,RF,4,0.6253496437191106,0.4528839452017082,0.7828667814028479
boundary_reduced,RF,0,0.6519487297426978,0.4658797656140088,0.7746998358560091
boundary_reduced,RF,1,0.5921019293927866,0.4381593798924234,0.7827034572143619
boundary_reduced,RF,2,0.6455091145381443,0.47809481928610326,0.828402283588366
boundary_reduced,RF,3,0.6008433529209158,0.45115925392776673,0.7905705899904238
boundary_reduced,RF,4,0.6458064392594326,0.47129511317333406,0.7684284521549192
queen,RF,0,0.6055495612884404,0.4354518608973124,0.805627863300509
queen,RF,1,0.5685233929065789,0.4203514867032475,0.7996651327383983
queen,RF,2,0.6046913410610905,0.4496068539425631,0.8494175892154582
queen,RF,3,0.5780399642595951,0.43364988637428115,0.8061655892557787
queen,RF,4,0.619351717688027,0.4509547667664274,0.7870119932111327
queen_reduced,RF,0,0.6220088344316297,0.45154088053480984,0.7949179135162265
queen_reduced,RF,1,0.5847428901887797,0.43244218805539586,0.7880713048578849
queen_reduced,RF,2,0.627808651484069,0.46632508845523063,0.8376839973879819
queen_reduced,RF,3,0.5910619260142185,0.4456071095799006,0.797333897039584
queen_reduced,RF,4,0.6302626093052849,0.4619804420708792,0.7794416303924535
base,XGB,0,0.5966337826811255,0.4249975592298721,0.8113093841336667
base,XGB,1,0.5535966827345183,0.4116929772748076,0.8100467089582846
base,XGB,2,0.5988456985557888,0.4447184012132024,0.8523149225230965
base,XGB,3,0.5663955710142228,0.4219036218762608,0.8138963698066507
base,XGB,4,0.6078470810299956,0.439306519161089,0.7948511307673726
base_reduced,XGB,0,0.662885539765656,0.4700181992806368,0.7670773556658748
base_reduced,XGB,1,0.6040199895032325,0.44223065548997564,0.7738677587845526
base_reduced,XGB,2,0.6656648316399808,0.49411980138052786,0.8175188655390685
base_reduced,XGB,3,0.621879473195205,0.45797689777666417,0.7756492161146498
base_reduced,XGB,4,0.6685712342409478,0.48408366788223656,0.7518148283049265
boundary,XGB,0,0.5926124383775461,0.4217292104189472,0.8138443823600301
boundary,XGB,1,0.5535251967779737,0.4107712149528081,0.8100957631394403
boundary,XGB,2,0.5951303857997071,0.4398447175862329,0.8541417509159754
boundary,XGB,3,0.5645875359485041,0.42054543860144544,0.8150826249665447
boundary,XGB,4,0.6072771715220978,0.4394087914927904,0.7952356402440524
boundary_reduced,XGB,0,0.6225232447867695,0.44951742780106774,0.7945785615115398
boundary_reduced,XGB,1,0.5842212281066038,0.4333282370901302,0.7884492687523743
boundary_reduced,XGB,2,0.6360759007286171,0.47117311936771683,0.8333809593696064
boundary_reduced,XGB,3,0.5929203796170995,0.44227019726170397,0.7960574227184172
boundary_reduced,XGB,4,0.6334005588488966,0.4622899228212804,0.7772399324327128
queen,XGB,0,0.5854436150928589,0.4248800786916874,0.8183209840192505
queen,XGB,1,0.5529227625594985,0.4108055572541526,0.8105089062246045
queen,XGB,2,0.5847783190525854,0.43625851206767713,0.8591719157306469
queen,XGB,3,0.5628181082710138,0.4203125838179044,0.8162398775748412
queen,XGB,4,0.5996180242628297,0.4368313224321821,0.800368157694648
queen_reduced,XGB,0,0.5964919708266299,0.4371720894028744,0.8113990719350025
queen_reduced,XGB,1,0.5696673655224761,0.422295426847667,0.7988581011243693
queen_reduced,XGB,2,0.6165385671302477,0.45960612405974616,0.8434593099633909
queen_reduced,XGB,3,0.57928992969128,0.4366224020192112,0.8053263798919446
queen_reduced,XGB,4,0.6203908111408115,0.4553204107679107,0.7862967288857576
