dataset,model,n_folds,mean_rmse,std_rmse,var_rmse,mean_mae,std_mae,mean_r2,std_r2
base,RF,5,0.6009737720316819,0.02737629254496036,0.0007494613935072523,0.4386853194069772,0.014597248344266478,0.806123827595956,0.02312719413058267
base_reduced,RF,5,0.6536211761944761,0.029670484156017817,0.0008803376300525043,0.47637630525212094,0.018970697856607894,0.7709131751398741,0.02484831509348275
boundary,RF,5,0.6020667372919744,0.026573349491776005,0.0007061429032120721,0.43983552741611404,0.014776084050015103,0.8054117217027306,0.02304030937686121
boundary_reduced,RF,5,0.6272419131707954,0.028374555075779778,0.0008051153757484599,0.4609176663787272,0.016128659508424712,0.788960923760816,0.023570791228088816
queen,RF,5,0.5952311954407464,0.021134141620458593,0.0004466519420336002,0.43800297093676627,0.01264349159956573,0.8095776335442555,0.023568679401688403
queen_reduced,RF,5,0.6111769822847963,0.021573011575573415,0.0004653948284398245,0.4515791417392432,0.01348628582550935,0.7994897486388262,0.022453607247041818
base,XGB,5,0.5846637632031302,0.023349331986194474,0.0005451913042015244,0.42852381575104637,0.013398412843748807,0.8164837032378142,0.021370231836535816
base_reduced,XGB,5,0.6446042136690044,0.02964653297186133,0.0008789169172516611,0.46968584436200816,0.020587088572888736,0.7771856048818144,0.024423316291716474
boundary,XGB,5,0.5826265456851658,0.022561093751875552,0.0005090029512809181,0.42645987461044477,0.012750708301529967,0.8176800323252087,0.02186428327895378
boundary_reduced,XGB,5,0.6138282624175974,0.023808354417643597,0.0005668377400761293,0.4517157808683798,0.015186787609581765,0.7979412289569301,0.02115107406447817
queen,XGB,5,0.5771161658477573,0.018868915230692073,0.00035603596198304323,0.42581761085272074,0.011032455567430965,0.8209219682487982,0.022486865963386796
queen_reduced,XGB,5,0.5964757288622891,0.02229623814493073,0.0004971222354154642,0.4422032906194818,0.01522908234222977,0.809067918360093,0.021359825851190836
