Model,Parameter,Range,Description
Random Forest,n_estimators,"[300, 500, 800]",Number of trees
Random Forest,max_depth,"[None, 10, 20, 40]",Maximum depth of tree
Random Forest,min_samples_split,"[2, 5, 10]",Minimum samples to split node
Random Forest,min_samples_leaf,"[1, 2, 5, 10]",Minimum samples at leaf
Random Forest,max_features,"['sqrt', 'log2', 0.5, 0.8]",Fraction of features sampled at each split
Random Forest,bootstrap,[True],Bootstrap samples
XGBoost,n_estimators,"[300, 500, 800, 1000]",Number of trees
XGBoost,learning_rate,"[0.01, 0.03, 0.05, 0.1]",Shrinkage rate
XGBoost,max_depth,"[3, 4, 5, 6, 8]",Maximum depth of tree
XGBoost,min_child_weight,"[1, 3, 5, 10]",Minimum sum of instance weights
XGBoost,subsample,"[0.6, 0.8, 1.0]",Fraction of samples for each tree
XGBoost,colsample_bytree,"[0.6, 0.8, 1.0]",Fraction of features per tree
XGBoost,reg_alpha,"[0, 0.01, 0.1, 1]",L1 regularization
XGBoost,reg_lambda,"[0.5, 1, 2, 5]",L2 regularization
