column,dtype_before,dtype_after,pct_missing
p_arb_wn,object,string,100.0
a_opl_hvm,object,string,100.0
p_hh_li,object,string,100.0
p_arb_wnv,object,string,100.0
a_arb_wz,object,string,100.0
p_arb_pp,object,string,100.0
p_hh_hi,object,string,100.0
p_hh_lkk,object,string,100.0
p_hh_osm,object,string,100.0
p_hh_120,object,string,100.0
a_opl_hw,object,string,100.0
SoortRegio_3,object,string,100.0
m_hh_ver,object,string,100.0
a_jz_tn,object,string,100.0
p_hh_110,object,string,100.0
Gemeentenaam_2,object,string,100.0
p_jz_tn,object,string,100.0
p_ink_li,object,string,100.0
p_arb_zs,object,string,100.0
g_hh_sti,object,string,100.0
a_lp_pub,object,string,100.0
g_ink_po,object,string,100.0
g_ink_pi,object,string,100.0
a_inkont,object,string,100.0
p_arb_wnf,object,string,100.0
p_wmo_t,object,string,100.0
a_wmo_t,object,string,100.0
a_opl_bvm,object,string,100.0
p_ink_hi,object,string,100.0
p_stadsv,object,Int64,92.5
p_won_ev ,object,Int64,30.04
p_won_zs,object,Int64,30.04
p_won_m_ag ,object,Int64,30.04
p_won_z_ag,object,Int64,30.04
g_pau_km,object,Int64,20.57
g_pau_hh,object,Float64,20.57
a_bed_ru,object,Int64,12.6
a_bed_kl,object,Int64,12.6
a_bed_mn,object,Int64,12.6
a_bed_oq,object,Int64,12.6
a_bed_a,object,Int64,12.6
a_bed_gi,object,Int64,12.6
a_bed_bf,object,Int64,12.6
a_bed_hj,object,Int64,12.6
g_wozbag,object,Int64,12.49
p_koopw,object,Int64,11.43
p_1gezw_tw,object,Int64,11.43
p_1gezw,object,Int64,11.43
p_leegsw,object,Int64,11.43
p_mgezw,object,Int64,11.43
p_1gezw_2w,object,Int64,11.43
p_wcorpw,object,Int64,11.43
p_1gezw_hvw,object,Int64,11.43
p_ov_hw,object,Int64,11.43
p_bj_me10,object,Int64,11.43
p_bj_mi10,object,Int64,11.43
p_huurw,object,Int64,11.43
p_1gezw_hw,object,Int64,11.43
g_gas,object,Int64,7.01
g_ele_tr,object,Int64,6.69
g_ele,object,Int64,6.69
g_afs_hp,object,Float64,5.24
g_afs_gs,object,Float64,5.24
g_afs_kv,object,Float64,5.24
g_afs_sc,object,Float64,5.24
g_3km_sc,object,Float64,5.24
bev_dich,object,Int64,5.12
gwb_code_8,object,Int64,3.57
g_hhgro,object,Float64,2.78
pst_mvp,object,Int64,0.68
pst_dekp,object,Int64,0.68
ste_mvs,object,Int64,0.6
ste_oad,object,Int64,0.6
p_ste,object,Int64,0.07
p_geb,object,Int64,0.02
